GENUS;SPECIES;SPECNO;FULL_SPECIES;JAAR;BRON;HER_COOR;AMERSX;AMERSY;HOKX;X_Round;Y_Round;X_Y_COOR;check
Bombus;ruderarius;603;Bombus_ruderarius;2007;3;3;15;378;1;15;378;15378;0
Colletes;halophilus;620;Colletes_halophilus;2007;3;3;15;378;1;15;378;15378;0
Epeolus;tarsalis;538;Epeolus_tarsalis;2007;3;3;15;378;1;15;378;15378;0
Epeolus;variegatus;539;Epeolus_variegatus;2007;3;3;15;378;1;15;378;15378;0
Apis;mellifera;587;Apis_mellifera;2003;3;3;16;374;1;16;374;16374;0
Bombus;pascuorum;600;Bombus_pascuorum;2003;3;3;16;374;1;16;374;16374;0
Bombus;pratorum;602;Bombus_pratorum;2003;3;3;16;374;1;16;374;16374;0
Bombus;terrestris;608;Bombus_terrestris;2003;3;3;16;374;1;16;374;16374;0
Bombus;lapidarius;596;Bombus_lapidarius;2007;3;W;16,224;378,616;0,001;16;378;16378;0
Bombus;pascuorum;600;Bombus_pascuorum;2009;3;W;16,663;378,699;0,001;16;378;16378;0
Bombus;pratorum;602;Bombus_pratorum;2007;3;W;16,224;378,616;0,001;16;378;16378;0
Sphecodes;albilabris;699;Sphecodes_albilabris;2009;3;W;16,825;378,904;0,001;16;378;16378;0
Apis;mellifera;587;Apis_mellifera;2004;3;3;17;364;1;17;364;17364;0
Bombus;pascuorum;600;Bombus_pascuorum;2004;3;3;17;364;1;17;364;17364;0
Bombus;pratorum;602;Bombus_pratorum;2004;3;3;17;364;1;17;364;17364;0
Bombus;terrestris;608;Bombus_terrestris;2004;3;3;17;364;1;17;364;17364;0
Hylaeus;hyalinatus;636;Hylaeus_hyalinatus;2004;3;3;17;364;1;17;364;17364;0
Osmia;caerulescens;757;Osmia_caerulescens;2004;3;3;17;364;1;17;364;17364;0
Andrena;proxima;504;Andrena_proxima;2003;3;3;17;374;1;17;374;17374;0
Apis;mellifera;587;Apis_mellifera;2003;3;3;17;374;1;17;374;17374;0
Bombus;pascuorum;600;Bombus_pascuorum;2003;3;3;17;374;1;17;374;17374;0
Bombus;pratorum;602;Bombus_pratorum;2003;3;3;17;374;1;17;374;17374;0
Bombus;terrestris;608;Bombus_terrestris;2003;3;3;17;374;1;17;374;17374;0
Andrena;carantonica;459;Andrena_carantonica;2005;2;3;18;366;1;18;366;18366;0
Andrena;chrysosceles;461;Andrena_chrysosceles;2005;3;3;18;366;1;18;366;18366;0
Andrena;clarkella;463;Andrena_clarkella;2009;3;3;18;366;1;18;366;18366;0
Andrena;flavipes;472;Andrena_flavipes;2005;3;3;18;366;1;18;366;18366;0
Andrena;helvola;483;Andrena_helvola;2005;2;3;18;366;1;18;366;18366;0
Andrena;subopaca;513;Andrena_subopaca;2003;2;3;18;366;1;18;366;18366;0
Andrena;vaga;518;Andrena_vaga;2005;3;3;18;366;1;18;366;18366;0
Andrena;ventralis;520;Andrena_ventralis;2005;2;3;18;366;1;18;366;18366;0
Apis;mellifera;587;Apis_mellifera;2005;3;3;18;366;1;18;366;18366;0
Bombus;pascuorum;600;Bombus_pascuorum;2005;3;3;18;366;1;18;366;18366;0
Bombus;pratorum;602;Bombus_pratorum;2005;3;3;18;366;1;18;366;18366;0
Bombus;terrestris;608;Bombus_terrestris;2005;3;3;18;366;1;18;366;18366;0
Lasioglossum;morio;685;Lasioglossum_morio;2005;2;3;18;366;1;18;366;18366;0
Lasioglossum;sexstrigatum;695;Lasioglossum_sexstrigatum;2005;2;3;18;366;1;18;366;18366;0
Nomada;flava;556;Nomada_flava;2005;2;3;18;366;1;18;366;18366;0
Osmia;rufa;763;Osmia_rufa;2005;3;3;18;366;1;18;366;18366;0
Andrena;haemorrhoa;481;Andrena_haemorrhoa;2003;3;3;18;370;1;18;370;18370;0
Bombus;lapidarius;596;Bombus_lapidarius;2003;3;3;18;370;1;18;370;18370;0
Bombus;pascuorum;600;Bombus_pascuorum;2003;3;3;18;370;1;18;370;18370;0
Bombus;terrestris;608;Bombus_terrestris;2003;3;3;18;370;1;18;370;18370;0
Halictus;tumulorum;658;Halictus_tumulorum;2003;2;3;18;370;1;18;370;18370;0
Nomada;conjungens;549;Nomada_conjungens;2003;2;3;18;370;1;18;370;18370;0
Nomada;fucata;559;Nomada_fucata;2003;2;3;18;370;1;18;370;18370;0
Nomada;ruficornis;548;Nomada_ruficornis;2003;2;3;18;370;1;18;370;18370;0
Andrena;carantonica;459;Andrena_carantonica;2003;2;3;18;371;1;18;371;18371;0
Andrena;flavipes;472;Andrena_flavipes;2003;2;3;18;371;1;18;371;18371;0
Andrena;haemorrhoa;481;Andrena_haemorrhoa;2003;2;3;18;371;1;18;371;18371;0
Bombus;pascuorum;600;Bombus_pascuorum;2003;3;3;18;371;1;18;371;18371;0
Bombus;terrestris;608;Bombus_terrestris;2003;3;3;18;371;1;18;371;18371;0
Lasioglossum;calceatum;672;Lasioglossum_calceatum;2003;2;3;18;371;1;18;371;18371;0
Nomada;conjungens;549;Nomada_conjungens;2004;2;3;18;371;1;18;371;18371;0
Apis;mellifera;587;Apis_mellifera;2003;3;3;18;372;1;18;372;18372;0
Bombus;pascuorum;600;Bombus_pascuorum;2003;3;3;18;372;1;18;372;18372;0
Bombus;pratorum;602;Bombus_pratorum;2003;3;3;18;372;1;18;372;18372;0
Bombus;ruderarius;603;Bombus_ruderarius;2003;3;3;18;372;1;18;372;18372;0
Bombus;terrestris;608;Bombus_terrestris;2003;3;3;18;372;1;18;372;18372;0
Andrena;haemorrhoa;481;Andrena_haemorrhoa;2003;3;3;18;373;1;18;373;18373;0
Andrena;proxima;504;Andrena_proxima;2003;3;3;18;373;1;18;373;18373;0
Apis;mellifera;587;Apis_mellifera;2003;3;3;18;373;1;18;373;18373;0
Bombus;pascuorum;600;Bombus_pascuorum;2003;3;3;18;373;1;18;373;18373;0
Bombus;pratorum;602;Bombus_pratorum;2003;3;3;18;373;1;18;373;18373;0
Bombus;terrestris;608;Bombus_terrestris;2003;3;3;18;373;1;18;373;18373;0
Apis;mellifera;587;Apis_mellifera;2003;3;3;18;376;1;18;376;18376;0
Bombus;hypnorum;594;Bombus_hypnorum;2003;3;3;18;376;1;18;376;18376;0
Bombus;lapidarius;596;Bombus_lapidarius;2003;3;3;18;376;1;18;376;18376;0
Bombus;pascuorum;600;Bombus_pascuorum;2003;3;3;18;376;1;18;376;18376;0
Bombus;pratorum;602;Bombus_pratorum;2003;3;3;18;376;1;18;376;18376;0
Bombus;ruderarius;603;Bombus_ruderarius;2003;3;3;18;376;1;18;376;18376;0
Bombus;terrestris;608;Bombus_terrestris;2003;3;3;18;376;1;18;376;18376;0
Colletes;halophilus;620;Colletes_halophilus;2006;3;3;18;379;1;18;379;18379;0
Andrena;carantonica;459;Andrena_carantonica;2003;3;3;19;363;1;19;363;19363;0
Andrena;haemorrhoa;481;Andrena_haemorrhoa;2003;3;3;19;363;1;19;363;19363;0
Apis;mellifera;587;Apis_mellifera;2003;3;3;19;363;1;19;363;19363;0
Bombus;hypnorum;594;Bombus_hypnorum;2003;3;3;19;363;1;19;363;19363;0
