"GENUS" "SPECIES" "SPECNO" "FULL_SPECIES" "X_Round" "Y_Round" "X_Y_COOR" "X_ArcGIS" "Y_ArcGIS" "Heriades_truncorum" "Lasioglossum_sexstrigatum" "Osmia_rufa" "Apis_mellifera" "Bombus_pascuorum" "Bombus_terrestris" "Bombus_pratorum" "Andrena_haemorrhoa" "Andrena_nitida" "Anthophora_plumipes" "Bombus_lapidarius" "Lasioglossum_calceatum" "Bombus_lucorum" "Dasypoda_hirtipes" "Lasioglossum_morio" "Andrena_cineraria" "Andrena_dorsata" "Andrena_flavipes" "Colletes_fodiens" "Halictus_rubicundus" "Halictus_tumulorum" "Hylaeus_communis" "Hylaeus_confusus" "Hylaeus_hyalinatus" "Lasioglossum_leucozonium" "Lasioglossum_villosulum" "Megachile_centuncularis" "Nomada_flava" "Nomada_fucata" "Sphecodes_monilicornis" "Andrena_carantonica" "Andrena_subopaca" "Andrena_vaga" "Nomada_marshamella" "Nomada_ruficornis" "Andrena_barbilabris" "Bombus_hypnorum" "Andrena_bicolor" "Bombus_campestris" "Bombus_hortorum" "Colletes_daviesanus" "Megachile_willughbiella" "Sphecodes_albilabris" "Andrena_chrysosceles" "Andrena_clarkella" "Andrena_ventralis" "Andrena_fulva" "Anthidium_manicatum" "Colletes_cunicularius" "Lasioglossum_pauxillum" "Nomada_flavoguttata" "Nomada_succincta" "Sphecodes_pellucidus" "Macropis_europaea" "Nomada_fabriciana" "Nomada_goodeniana" "Andrena_minutula" "Nomada_alboguttata" "Nomada_lathburiana" "Panurgus_calcaratus"
"Heriades" "truncorum" 734 "Heriades_truncorum" 169 378 169378 169500 378500 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Heriades" "truncorum" 734 "Heriades_truncorum" 170 439 170439 170500 439500 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Heriades" "truncorum" 734 "Heriades_truncorum" 174 402 174402 174500 402500 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Heriades" "truncorum" 734 "Heriades_truncorum" 174 441 174441 174500 441500 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Heriades" "truncorum" 734 "Heriades_truncorum" 174 448 174448 174500 448500 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Heriades" "truncorum" 734 "Heriades_truncorum" 175 316 175316 175500 316500 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Heriades" "truncorum" 734 "Heriades_truncorum" 175 444 175444 175500 444500 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Heriades" "truncorum" 734 "Heriades_truncorum" 176 472 176472 176500 472500 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Heriades" "truncorum" 734 "Heriades_truncorum" 178 403 178403 178500 403500 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Heriades" "truncorum" 734 "Heriades_truncorum" 178 444 178444 178500 444500 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
