"CELL_ID" "X_ArcGIS" "Y_ArcGIS" "ED_total_6Classes" "Suitability" "ED_total_ManNat" "NumClasses_VEG_LU" "Mean_Patch_areaKm2_Veg_LU" "LUVEG_1" "LUVEG_2" "LUVEG_3" "LUVEG_4" "LUVEG_5" "LUVEG_6" "LUVEG_7" "LUVEG_8" "LUVEG_20" "LUVEG_30" "LUVEG_60"
101390 101500 390500.000000001 0.04585 19.625 0.0197168597168597 11 0.0897703069100128 0.375 9.875 0.8125 15.6875 10.875 44.4375 4.625 0.375 3.0625 7.75 2.125
101391 101500 391500.000000005 0.03475 46 0.0124376199616123 11 0.256647952741703 0.1875 7.625 1.8125 5.375 3.75 36.9375 5.5 2.875 33.625 1.25 1.0625
101392 101500 392499.999999996 0.0423 57 0.0119034852546917 11 0.152426780913978 0 2.75 1.4375 0.8125 4 29 7.3125 1.1875 46.5625 0.5625 6.1875
101393 101500 393500.000000001 0.04635 37.375 0.0128581035642233 11 0.123023495321882 0 2.8125 2.375 1.3125 5.1875 46.5 6.9375 0.4375 27.375 0.125 6.875
101394 101500 394500.000000005 0.05095 43.1875 0.0173125884016973 11 0.0773038561569264 0 2.25 3.9375 1.1875 3.25 37.625 9.4375 1.0625 28.6875 0.5 11.1875
101395 101500 395499.999999996 0.05655 46.1875 0.0207697690692792 10 0.0535471748494077 0 2.875 5.375 1.125 3.8125 29.625 12.3125 0.8125 32.75 0 9.8125
101396 101500 396500.000000001 0.0733 54.4375 0.0385152838427948 11 0.0628507375776398 0 1.25 9.625 0.3125 0.8125 11.875 21.375 0.6875 10.375 0.5 37.625
101397 101500 397500.000000006 0.07415 65.375 0.068158844765343 10 0.0748448010727637 0 2.375 8.3125 0.8125 1.75 4.5 15.875 0.75 0 0.125 54.6875
101398 101500 398499.999999996 0.07465 57.25 0.0511229946524064 12 0.0635461991955545 0.0625 2.4375 6.3125 1.25 3 13 16.6875 0.4375 3.125 1.25 39.0625
101399 101500 399500.000000001 0.04765 28.75 0.0146548188653452 12 0.105444520757021 0.0625 4.1875 2.375 1.0625 2.8125 53 7.625 2.375 16.875 0.25 7.4375
